Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Seattle Seahawks,3,3,5,3,2,1,0,0,3,22
2,Minnesota Vikings,5,1,3,2,2,0,1,1,31,20
3,New England Patriots,7,4,9,3,1,0,0,0,10,16
4,Tampa Bay Buccaneers,4,4,6,2,0,0,1,0,16,15
5,Denver Broncos,7,1,7,4,0,0,0,1,23,15
6,Chicago Bears,2,1,1,1,2,0,1,0,30,12
7,Baltimore Ravens,6,5,12,0,0,0,0,0,6,12
8,Tennessee Titans,4,2,8,2,0,0,1,0,30,11
9,Cincinnati Bengals,4,2,6,1,1,0,0,0,10,10
10,Oakland Raiders,8,5,7,0,0,0,0,0,9,9
11,Detroit Lions,4,1,6,1,0,0,1,0,25,9
12,Kansas City Chiefs,4,3,3,0,2,0,0,0,16,8
13,Buffalo Bills,8,6,9,1,0,0,0,0,23,8
14,Atlanta Falcons,3,0,6,1,0,0,1,0,24,8
15,Indianapolis Colts,4,5,4,0,1,0,0,0,24,7
16,New Orleans Saints,2,1,1,1,1,0,0,0,14,6
17,Miami Dolphins,3,3,6,1,0,0,0,0,20,6
18,Jacksonville Jaguars,6,3,2,0,1,0,0,0,19,6
19,Houston Texans,10,4,7,0,0,1,0,0,24,6
20,San Francisco 49ers,9,4,7,1,0,0,0,0,29,5
21,New York Jets,4,1,1,0,0,0,0,0,13,5
22,Dallas Cowboys,6,4,5,0,0,0,0,0,17,5
23,Cleveland Browns,4,2,3,0,1,0,0,0,14,5
24,Carolina Panthers,4,1,4,1,1,0,0,0,24,5
25,Philadelphia Eagles,2,1,1,0,2,0,0,0,33,4
26,Green Bay Packers,4,1,3,1,0,0,0,0,20,4
27,Arizona Cardinals,6,1,2,0,1,0,0,0,21,3
28,San Diego Chargers,1,1,4,0,1,0,0,0,30,2
29,St. Louis Rams,6,2,8,0,0,0,0,0,31,1
30,Pittsburgh Steelers,2,0,5,0,0,0,0,0,20,1
31,Washington Redskins,5,4,6,0,0,0,0,0,38,0
32,New York Giants,2,0,2,0,1,0,0,0,41,-2
