Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Dez Bryant,DAL,WR,0,0,0,0,0,9,224,2,0,34.4
2,Aaron Rodgers,GB,QB,342,3,0,11,1,0,0,0,0,32.78
3,Tony Romo,DAL,QB,416,4,0,0,0,0,0,0,0,32.64
4,Drew Brees,NO,QB,446,3,0,-1,0,0,0,0,0,29.74
5,Matt Ryan,ATL,QB,279,4,0,25,0,0,0,0,0,29.66
6,Reggie Bush,MIA,RB,0,0,0,65,1,4,42,2,0,28.7
7,Roddy White,ATL,WR,0,0,0,0,0,8,153,2,0,27.3
8,Jamaal Charles,KC,RB,0,0,0,226,1,1,4,0,1,27
9,Joe Flacco,BAL,QB,309,2,0,-10,1,0,0,0,0,25.36
10,Marshawn Lynch,SEA,RB,0,0,0,111,1,2,19,1,0,25
11,Russell Wilson,SEA,QB,171,4,1,29,0,0,0,0,0,23.74
12,Peyton Manning,DEN,QB,339,3,1,0,0,0,0,0,0,23.56
13,Ryan Grant,GB,RB,0,0,0,80,2,1,34,0,0,23.4
14,Ray Rice,BAL,RB,0,0,0,107,0,6,51,1,0,21.8
15,Cam Newton,CAR,QB,170,1,1,60,1,0,0,0,0,20.8
16,Calvin Johnson,DET,WR,0,0,0,0,0,11,225,0,1,20.5
17,Shonn Greene,NYJ,RB,0,0,0,38,2,2,42,0,0,20
18,Mike Williams,TB,WR,0,0,0,0,0,7,132,1,0,19.2
19,Eric Decker,DEN,WR,0,0,0,0,0,6,65,2,0,18.5
20,Lance Kendricks,STL,TE,0,0,0,0,0,4,119,1,0,17.9
21,Jeremy Maclin,PHI,WR,0,0,0,0,0,8,116,1,0,17.6
22,Ryan Tannehill,MIA,QB,130,2,0,44,0,0,0,0,0,17.6
23,CJ Spiller,BUF,RB,0,0,0,138,0,4,35,0,0,17.3
24,Doug Baldwin,SEA,WR,0,0,0,0,0,4,53,2,0,17.3
25,Alfred Morris,WAS,RB,0,0,0,91,1,1,17,0,0,16.8
26,Demaryius Thomas,DEN,WR,0,0,0,0,0,9,102,1,0,16.2
27,James Jones,GB,WR,0,0,0,0,0,7,100,1,0,16
28,Matthew Stafford,DET,QB,443,0,1,2,0,0,0,0,0,15.92
29,Wes Welker,NE,WR,0,0,0,9,0,10,88,1,0,15.7
30,Antonio Brown,PIT,WR,0,0,0,0,0,5,97,1,0,15.7
31,Matt Forte,CHI,RB,0,0,0,88,1,1,7,0,0,15.5
32,Marques Colston,NO,WR,0,0,0,0,0,10,153,0,0,15.3
33,Darren Sproles,NO,RB,0,0,0,48,0,7,104,0,0,15.2
34,Philip Rivers,SD,QB,165,2,0,4,0,0,0,0,0,15
35,Colin Kaepernick,SF,QB,244,1,1,31,0,0,0,0,0,14.86
36,Torrey Smith,BAL,WR,0,0,0,0,0,5,88,1,0,14.8
37,Nick Foles,PHI,QB,345,1,1,10,0,0,0,0,1,14.8
38,Tom Brady,NE,QB,267,2,2,0,0,0,0,0,0,14.68
39,Robert Griffin III,WAS,QB,198,2,1,4,0,0,0,0,0,14.32
40,Andrew Luck,IND,QB,205,1,0,21,0,0,0,0,0,14.3
41,Chad Henne,JAX,QB,348,1,3,22,0,0,0,0,0,14.12
42,Reggie Wayne,IND,WR,0,0,0,0,0,5,81,1,0,14.1
43,Justin Blackmon,JAX,WR,0,0,0,0,0,7,79,1,0,13.9
44,Christian Ponder,MIN,QB,174,1,0,48,0,0,0,0,1,13.76
45,Sam Bradford,STL,QB,196,2,1,-1,0,0,0,0,0,13.74
46,Pierre Thomas,NO,RB,0,0,0,16,0,7,61,1,0,13.7
47,Steven Jackson,STL,RB,0,0,0,81,1,1,-4,0,0,13.7
48,Danario Alexander,SD,WR,0,0,0,0,0,3,69,1,0,12.9
49,Brandon Marshall,CHI,WR,0,0,0,0,0,6,68,1,0,12.8
50,Knowshon Moreno,DEN,RB,0,0,0,78,0,5,49,0,0,12.7
51,Josh Freeman,TB,QB,372,1,4,18,0,0,0,0,0,12.68
52,Julio Jones,ATL,WR,0,0,0,-7,0,7,71,1,0,12.4
53,Bernard Pierce,BAL,RB,0,0,0,123,0,0,0,0,0,12.3
54,LeSean McCoy,PHI,RB,0,0,0,45,0,9,77,0,0,12.2
55,Randall Cobb,GB,WR,0,0,0,0,0,3,62,1,0,12.2
56,Mark Ingram,NO,RB,0,0,0,53,1,1,7,0,0,12
57,Montell Owens,JAX,RB,0,0,0,42,0,4,77,0,0,11.9
58,Doug Martin,TB,RB,0,0,0,62,0,7,57,0,0,11.9
59,Greg Little,CLE,WR,0,0,0,0,0,6,58,1,0,11.8
60,Delanie Walker,SF,TE,0,0,0,0,0,4,54,1,0,11.4
61,Ryan Fitzpatrick,BUF,QB,240,1,1,18,0,0,0,0,1,11.4
62,Larry Fitzgerald,ARI,WR,0,0,0,0,0,8,111,0,0,11.1
63,Vincent Jackson,TB,WR,0,0,0,0,0,7,108,0,0,10.8
64,Eli Manning,NYG,QB,150,1,0,8,0,0,0,0,0,10.8
65,Jay Cutler,CHI,QB,146,1,0,8,0,0,0,0,0,10.64
66,Mikel Leshoure,DET,RB,0,0,0,46,1,3,20,0,1,10.6
67,Miles Austin,DAL,WR,0,0,0,0,0,4,45,1,0,10.5
68,Steve Smith,CAR,WR,0,0,0,0,0,4,45,1,0,10.5
69,Greg Jennings,GB,WR,0,0,0,0,0,7,45,1,0,10.5
70,Danny Woodhead,NE,RB,0,0,0,7,0,2,38,1,0,10.5
71,Antonio Gates,SD,TE,0,0,0,0,0,2,44,1,0,10.4
72,Kenny Britt,TEN,WR,0,0,0,0,0,2,41,1,0,10.1
73,Peyton Hillis,KC,RB,0,0,0,101,0,0,0,0,0,10.1
74,Kyle Rudolph,MIN,TE,0,0,0,0,0,3,39,1,0,9.9
75,Santana Moss,WAS,WR,0,0,0,12,0,2,26,1,0,9.8
76,Andre Johnson,HOU,WR,0,0,0,0,0,7,97,0,0,9.7
