Rk,ID,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,7242,Drew Brees,NO,QB,381,4,0,8,1,0,0,0,0,38.04
2,2699,Matt Forte,CHI,RB,0,0,0,110,2,4,47,1,0,33.7
3,12296,LeGarrette Blount,NE,RB,0,0,0,189,2,0,0,0,0,30.9
4,13142,Jerrel Jernigan,NYG,WR,0,0,0,57,1,6,90,1,0,26.7
5,7328,Peyton Manning,DEN,QB,266,4,0,0,0,0,0,0,0,26.64
6,11197,Demaryius Thomas,DEN,WR,0,0,0,0,0,6,113,2,0,23.3
7,13443,Colin Kaepernick,SF,QB,310,2,0,24,0,0,0,0,0,22.8
8,2428,Carson Palmer,ARI,QB,407,2,1,-1,0,0,0,0,0,22.18
9,11712,Anquan Boldin,SF,WR,0,0,0,11,0,9,149,1,0,22
10,15045,Knile Davis,KC,RB,0,0,0,81,2,2,5,0,0,20.6
11,15150,Cordarrelle Patterson,MIN,WR,0,0,0,54,1,2,31,1,0,20.5
12,6828,Chris Johnson,TEN,RB,0,0,0,127,1,3,14,0,0,20.1
13,12841,Andy Dalton,CIN,QB,281,2,4,23,1,0,0,0,0,19.54
14,11932,LeSean McCoy,PHI,RB,0,0,0,131,0,1,3,1,0,19.4
15,8244,Philip Rivers,SD,QB,229,3,1,2,0,0,0,0,0,19.36
16,13693,Terrelle Pryor,OAK,QB,207,2,0,49,0,0,0,0,1,19.18
17,13320,Cam Newton,CAR,QB,149,2,1,72,0,0,0,0,0,19.16
18,8703,Kyle Orton,DAL,QB,358,2,2,8,0,0,0,0,0,19.12
19,11611,Golden Tate,SEA,WR,0,0,0,2,0,8,129,1,0,19.1
20,14895,Geno Smith,NYJ,QB,190,0,0,44,1,0,0,0,0,18
21,9902,Chase Daniel,KC,QB,200,1,0,59,0,0,0,0,0,17.9
22,13227,Randall Cobb,GB,WR,0,0,0,0,0,2,55,2,0,17.5
23,5701,Fred Jackson,BUF,RB,0,0,0,60,1,3,53,0,0,17.3
24,2593,Aaron Rodgers,GB,QB,318,2,2,5,0,0,0,0,0,17.22
25,732,Matt Ryan,ATL,QB,280,2,1,-1,0,0,0,0,0,17.1
26,14719,Jonathan Grimes,HOU,RB,0,0,0,50,1,6,76,0,1,16.6
27,4556,Jordy Nelson,GB,WR,0,0,0,0,0,10,161,0,0,16.1
28,12386,Marshawn Lynch,SEA,RB,0,0,0,97,1,1,4,0,0,16.1
29,13723,Nick Foles,PHI,QB,263,2,0,-5,0,0,0,0,1,16.02
30,14008,Andrew Luck,IND,QB,282,1,0,7,0,0,0,0,0,15.98
31,11270,Dez Bryant,DAL,WR,0,0,0,0,0,8,99,1,0,15.9
32,14967,Le'Veon Bell,PIT,RB,0,0,0,90,1,1,6,0,0,15.6
33,11256,Ryan Mathews,SD,RB,0,0,0,144,0,2,11,0,0,15.5
34,14005,TY Hilton,IND,WR,0,0,0,0,0,11,155,0,0,15.5
35,8664,Tiquan Underwood,TB,WR,0,0,0,0,0,5,93,1,0,15.3
36,2405,Chad Henne,JAX,QB,331,1,1,0,0,0,0,0,0,15.24
37,204,Roddy White,ATL,WR,0,0,0,0,0,8,91,1,0,15.1
38,8972,Jay Cutler,CHI,QB,226,2,1,0,0,0,0,0,0,15.04
39,15201,Mike Glennon,TB,QB,219,2,1,0,0,0,0,0,0,14.76
40,13697,Thaddeus Lewis,BUF,QB,247,1,0,4,0,0,0,0,0,14.28
41,15138,Eddie Lacy,GB,RB,0,0,0,66,1,2,15,0,0,14.1
42,15196,Kenny Stills,NO,WR,0,0,0,0,0,1,76,1,0,13.6
43,722,Jason Witten,DAL,TE,0,0,0,0,0,12,135,0,0,13.5
44,14839,Kerry Taylor,JAX,WR,0,0,0,0,0,8,75,1,0,13.5
45,11565,Andre Roberts,ARI,WR,0,0,0,0,0,3,74,1,0,13.4
46,11667,Brandon Marshall,CHI,WR,0,0,0,0,0,6,74,1,0,13.4
47,6768,Lance Moore,NO,WR,0,0,0,0,0,4,73,1,0,13.3
48,10949,CJ Spiller,BUF,RB,0,0,0,105,0,5,28,0,0,13.3
49,5511,Brent Celek,PHI,TE,0,0,0,0,0,3,71,1,0,13.1
50,11488,Jimmy Graham,NO,TE,0,0,0,0,0,5,71,1,0,13.1
51,9038,Matthew Stafford,DET,QB,217,1,0,0,0,0,0,0,0,12.68
52,4640,Reggie Bush,DET,RB,0,0,0,32,0,5,33,1,0,12.5
53,8699,Knowshon Moreno,DEN,RB,0,0,0,23,0,5,41,1,0,12.4
54,11220,Dexter McCluster,KC,WR,0,0,0,0,0,6,62,1,0,12.2
55,13763,TJ Graham,BUF,WR,0,0,0,0,0,3,62,1,0,12.2
56,12845,AJ Green,CIN,WR,0,0,0,0,0,4,61,1,0,12.1
57,13870,Marvin Jones,CIN,WR,0,0,0,0,0,5,61,1,0,12.1
58,15367,Tim Wright,TB,TE,0,0,0,2,0,5,58,1,0,12
59,5571,Larry Fitzgerald,ARI,WR,0,0,0,0,0,6,113,0,0,11.3
60,5412,Jason Snelling,ATL,RB,0,0,0,36,0,2,15,1,0,11.1
61,7389,Eddie Royal,SD,WR,0,0,0,17,0,3,34,1,0,11.1
62,14536,Russell Wilson,SEA,QB,172,1,0,-1,0,0,0,0,0,10.78
63,5084,Vernon Davis,SF,TE,0,0,0,0,0,3,45,1,0,10.5
64,12780,Shane Vereen,NE,RB,0,0,0,3,0,3,42,1,0,10.5
65,1658,Greg Olsen,CAR,TE,0,0,0,0,0,6,42,1,0,10.2
66,11859,Jason Campbell,CLE,QB,240,1,1,6,0,0,0,0,1,10.2
67,13902,Trent Richardson,IND,RB,0,0,0,25,1,2,17,0,0,10.2
68,5741,Robert Meachem,NO,WR,0,0,0,0,0,1,41,1,0,10.1
69,8723,Matt Cassel,MIN,QB,189,1,1,5,0,0,0,0,0,10.06
70,14111,Rod Streater,OAK,WR,0,0,0,0,0,5,40,1,0,10
71,15616,Fozzy Whittaker,CLE,RB,0,0,0,0,0,2,38,1,0,9.8
72,8604,Donald Brown,IND,RB,0,0,0,31,1,3,4,0,0,9.5
73,12506,James Starks,GB,RB,0,0,0,88,0,1,7,0,0,9.5
74,1652,Steven Jackson,ATL,RB,0,0,0,41,0,5,53,0,0,9.4
75,15036,Montee Ball,DEN,RB,0,0,0,72,0,3,22,0,0,9.4
76,13255,Matt Asiata,MIN,RB,0,0,0,115,0,2,-2,0,1,9.3
77,14594,Griff Whalen,IND,WR,0,0,0,0,0,4,32,1,0,9.2
78,7884,Antonio Gates,SD,TE,0,0,0,0,0,4,31,1,0,9.1
79,14478,Michael Floyd,ARI,WR,0,0,0,0,0,6,91,0,0,9.1
80,8534,Jared Cook,STL,TE,0,0,0,0,0,5,30,1,0,9
81,15479,Marlon Brown,BAL,WR,0,0,0,0,0,5,30,1,0,9
82,15076,Keenan Allen,SD,WR,0,0,0,0,0,5,89,0,0,8.9
83,7580,DeAngelo Williams,CAR,RB,0,0,0,33,0,2,75,0,1,8.8
84,11056,Antonio Brown,PIT,WR,0,0,0,0,0,9,87,0,0,8.7
85,11182,Eric Decker,DEN,WR,0,0,0,0,0,4,27,1,0,8.7
86,4314,Tom Brady,NE,QB,122,1,1,-3,0,0,0,0,0,8.58
87,4104,Jerricho Cotchery,PIT,WR,0,0,0,0,0,3,25,1,0,8.5
88,8355,Julian Edelman,NE,WR,0,0,0,0,0,9,65,0,0,8.5
89,8529,Mike Wallace,MIA,WR,0,0,0,0,0,5,25,1,0,8.5
90,12800,Bilal Powell,NYJ,RB,30,0,0,76,0,1,-4,0,0,8.4
91,957,Pierre Thomas,NO,RB,0,0,0,20,1,1,3,0,0,8.3
92,14122,Ladarius Green,SD,TE,0,0,0,0,0,1,22,1,0,8.2
93,14587,Josh Gordon,CLE,WR,0,0,0,0,0,7,82,0,0,8.2
94,4932,Eli Manning,NYG,QB,152,1,1,0,0,0,0,0,0,8.08
95,3807,Ben Roethlisberger,PIT,QB,179,1,2,9,0,0,0,0,0,8.06
96,13799,Ryan Tannehill,MIA,QB,204,1,3,19,0,0,0,0,0,8.06
97,13406,Rob Housler,ARI,TE,0,0,0,0,0,5,78,0,0,7.8
98,13791,Lamar Miller,MIA,RB,0,0,0,73,0,1,4,0,0,7.7
99,15082,Gavin Escobar,DAL,TE,0,0,0,0,0,1,17,1,0,7.7
100,8846,Kevin Ogletree,DET,WR,0,0,0,0,0,5,75,0,0,7.5
101,12774,Stevan Ridley,NE,RB,0,0,0,74,0,0,0,0,0,7.4
102,12847,Andrew Hawkins,CIN,WR,0,0,0,0,0,3,74,0,0,7.4
103,14916,Giovani Bernard,CIN,RB,0,0,0,22,0,5,51,0,0,7.3
104,13719,Bryce Brown,PHI,RB,0,0,0,11,1,0,0,0,0,7.1
105,547,Ray Rice,BAL,RB,0,0,0,15,0,7,35,0,0,7
106,3061,Marcedes Lewis,JAX,TE,0,0,0,0,0,3,70,0,0,7
107,7308,Maurice Jones-Drew,JAX,RB,0,0,0,39,0,5,51,0,1,7
108,12861,Jordan Cameron,CLE,TE,0,0,0,0,0,5,69,0,0,6.9
109,15068,Nick Kasa,OAK,TE,0,0,0,0,0,1,9,1,0,6.9
110,14275,Jarrett Boykin,GB,WR,0,0,0,0,1,2,8,0,0,6.8
111,14502,AJ Jenkins,KC,WR,0,0,0,1,0,3,67,0,0,6.8
112,14821,Edwin Baker,CLE,RB,0,0,0,69,0,2,-1,0,0,6.8
113,5094,Marques Colston,NO,WR,0,0,0,0,0,6,67,0,0,6.7
114,13124,DeMarco Murray,DAL,RB,0,0,0,48,0,5,39,0,1,6.7
115,462,BenJarvus Green-Ellis,CIN,RB,0,0,0,66,0,0,0,0,0,6.6
116,10946,David Nelson,NYJ,WR,0,0,0,0,0,5,66,0,0,6.6
117,12109,Ted Ginn,CAR,WR,0,0,0,0,0,2,6,1,0,6.6
118,5054,Kellen Clemens,STL,QB,157,1,2,2,0,0,0,0,0,6.48
119,11982,Nate Burleson,DET,WR,0,0,0,0,0,5,64,0,0,6.4
120,11017,Dennis Pitta,BAL,TE,0,0,0,0,0,8,63,0,0,6.3
121,13069,Denarius Moore,OAK,WR,0,0,0,0,0,4,63,0,0,6.3
122,14269,Alfred Morris,WAS,RB,0,0,0,62,0,2,21,0,1,6.3
123,11747,Peyton Hillis,NYG,RB,0,0,0,56,0,1,6,0,0,6.2
124,12622,Jake Ballard,ARI,TE,0,0,0,0,0,1,1,1,0,6.1
125,12317,Danny Woodhead,SD,RB,0,0,0,18,0,7,42,0,0,6
126,14187,Alshon Jeffery,CHI,WR,0,0,0,0,0,3,80,0,1,6
127,15241,Quinton Patton,SF,WR,0,0,0,26,0,2,34,0,0,6
128,6211,Harry Douglas,ATL,WR,0,0,0,0,0,7,58,0,0,5.8
129,13788,Rishard Matthews,MIA,WR,0,0,0,0,0,4,58,0,0,5.8
130,611,Joe Flacco,BAL,QB,192,1,3,1,0,0,0,0,0,5.78
131,6767,Pierre Garcon,WAS,WR,0,0,0,0,0,6,56,0,0,5.6
132,9108,Tony Gonzalez,ATL,TE,0,0,0,0,0,4,56,0,0,5.6
133,12323,Joique Bell,DET,RB,0,0,0,31,0,4,25,0,0,5.6
134,12548,Scott Chandler,BUF,TE,0,0,0,0,0,3,55,0,0,5.5
135,13386,Lance Kendricks,STL,TE,0,0,0,0,0,5,54,0,0,5.4
136,9739,Hakeem Nicks,NYG,WR,0,0,0,0,0,2,50,0,0,5
137,13957,Kendall Wright,TEN,WR,0,0,0,0,0,5,50,0,0,5
138,15019,Ace Sanders,JAX,WR,0,0,0,0,0,6,50,0,0,5
139,15645,Khiry Robinson,NO,RB,0,0,0,50,0,0,0,0,0,5
140,2429,Andre Johnson,HOU,WR,0,0,0,0,0,6,49,0,0,4.9
141,14985,Ryan Griffin,HOU,TE,0,0,0,0,0,3,49,0,0,4.9
142,14687,Bernard Pierce,BAL,RB,0,0,0,28,0,4,18,0,0,4.6
143,1986,Jason Avant,PHI,WR,0,0,0,0,0,3,45,0,0,4.5
144,14836,Junior Hemingway,KC,WR,0,0,0,0,0,5,45,0,0,4.5
145,8283,Ryan Fitzpatrick,TEN,QB,166,0,1,-2,0,0,0,0,0,4.44
146,6597,Greg Jennings,MIN,WR,0,0,0,0,0,5,44,0,0,4.4
147,12751,Charles Clay,MIA,TE,0,0,0,0,0,4,43,0,0,4.3
148,14817,Mike Brown,JAX,WR,0,0,0,0,0,3,43,0,0,4.3
149,14856,Zach Ertz,PHI,TE,0,0,0,0,0,3,43,0,0,4.3
150,15697,Chase Ford,MIN,TE,0,0,0,0,0,5,43,0,0,4.3
151,3989,Andre Caldwell,DEN,WR,0,0,0,0,0,3,42,0,0,4.2
152,15224,Andre Ellington,ARI,RB,0,0,0,30,0,3,12,0,0,4.2
153,6302,James Jones,GB,WR,0,0,0,0,0,6,41,0,0,4.1
154,11697,Santonio Holmes,NYJ,WR,0,0,0,0,0,3,41,0,0,4.1
155,12794,Jeremy Kerley,NYJ,WR,0,0,0,1,0,5,40,0,0,4.1
156,3931,Rashard Mendenhall,ARI,RB,0,0,0,47,0,2,13,0,1,4
157,4738,Mike Tolbert,CAR,FB,0,0,0,29,0,3,10,0,0,3.9
158,8564,Nate Washington,TEN,WR,0,0,0,0,0,2,39,0,0,3.9
159,11313,Riley Cooper,PHI,WR,0,0,0,0,0,3,39,0,0,3.9
160,15088,Terrance Williams,DAL,WR,0,0,0,0,0,1,39,0,0,3.9
161,4633,Matt Schaub,HOU,QB,229,0,2,7,0,0,0,0,1,3.86
162,8330,Brian Hartline,MIA,WR,0,0,0,0,0,2,38,0,0,3.8
163,13163,Roy Helu,WAS,RB,0,0,0,24,0,2,14,0,0,3.8
164,13264,Andre Holmes,OAK,WR,0,0,0,0,0,3,38,0,0,3.8
165,15221,Zac Stacy,STL,RB,0,0,0,15,0,4,23,0,0,3.8
166,8438,Brian Leonard,TB,RB,0,0,0,35,0,3,1,0,0,3.6
167,13027,Julius Thomas,DEN,TE,0,0,0,0,0,5,36,0,0,3.6
168,13852,Bobby Rainey,TB,RB,0,0,0,35,0,1,1,0,0,3.6
169,3519,Vincent Jackson,TB,WR,0,0,0,0,0,4,35,0,0,3.5
170,14986,DeAndre Hopkins,HOU,WR,0,0,0,0,0,4,35,0,0,3.5
171,9249,Kellen Winslow,NYJ,TE,0,0,0,0,0,1,34,0,0,3.4
172,13735,Chris Polk,PHI,RB,0,0,0,0,0,1,34,0,0,3.4
173,14735,Josh Cooper,CLE,WR,0,0,0,0,0,5,34,0,0,3.4
174,14053,Brock Osweiler,DEN,QB,85,0,0,-1,0,0,0,0,0,3.3
175,15216,Stedman Bailey,STL,WR,0,0,0,0,0,4,33,0,0,3.3
176,11097,Damian Williams,TEN,WR,0,0,0,0,0,1,32,0,0,3.2
177,11345,Logan Paulsen,WAS,TE,0,0,0,0,0,4,32,0,0,3.2
178,11400,Andrew Quarless,GB,TE,0,0,0,0,0,2,31,0,0,3.1
179,13171,Aldrick Robinson,WAS,WR,0,0,0,-2,0,3,33,0,0,3.1
180,14465,Jarius Wright,MIN,WR,0,0,0,0,0,2,31,0,0,3.1
181,10992,Jeff Cumberland,NYJ,TE,0,0,0,0,0,1,30,0,0,3
182,14046,Ronnie Hillman,DEN,RB,0,0,0,30,0,0,0,0,0,3
183,852,Jacob Tamme,DEN,TE,0,0,0,0,0,3,29,0,0,2.9
184,6198,Darren Sproles,NO,RB,0,0,0,-1,0,2,30,0,0,2.9
185,7175,Delanie Walker,TEN,TE,0,0,0,0,0,3,29,0,0,2.9
186,7857,Jerome Simpson,MIN,WR,0,0,0,0,0,3,29,0,0,2.9
187,9331,Michael Crabtree,SF,WR,0,0,0,0,0,3,29,0,0,2.9
188,3943,DeSean Jackson,PHI,WR,0,0,0,0,0,3,28,0,0,2.8
189,12830,Torrey Smith,BAL,WR,0,0,0,0,0,3,27,0,0,2.7
190,14871,Robert Woods,BUF,WR,0,0,0,0,0,1,27,0,0,2.7
191,1577,Joel Dreessen,DEN,TE,0,0,0,0,0,3,26,0,0,2.6
192,11063,Emmanuel Sanders,PIT,WR,0,0,0,0,0,2,26,0,0,2.6
193,15314,Michael Hill,TB,RB,0,0,0,3,0,2,23,0,0,2.6
194,10961,Marlon Moore,MIA,WR,0,0,0,0,0,3,25,0,0,2.5
